question,model_answer,real_answer,model_answer_value,real_answer_value
"Natalia sold clips to 48 of her friends in April, and then she sold half as many clips in May. How many clips did Natalia sell altogether in April and May?"," April = (48/2) + (48/2) = <<48/2 = 24>>24 + <<48/2 = 24>>24 = <<24+24=48>>48.
May = (48/2) + (48/2) = <<48/2 = 24>>24 + <<48/2 = 24>>24 = <<24+24=48>>48.
So, Natalia sold 48 clips throughout April and May combined.
The answer is 48

A:","Natalia sold 48/2 = <<48/2=24>>24 clips in May.
Natalia sold 48+24 = <<48+24=72>>72 clips altogether in April and May.
The answer is 72",48,72
"Weng earns $12 an hour for babysitting. Yesterday, she just did 50 minutes of babysitting. How much did she earn?"," Let x be the amount she earns.
She did 50 minutes of babysitting. That is, 50 minutes / 60 minutes = <<1/2=1/2>>1/2 hours.
Thus, $1* 1/2 = <<1*2=2>>2 hours.
Then, $2* 12 = <<1*12=12>>24 dollars.
Weng's earnings are 24 dollars.
The answer is 24

A:","Weng earns 12/60 = $<<12/60=0.2>>0.2 per minute.
Working 50 minutes, she earned 0.2 x 50 = $<<0.2*50=10>>10.
The answer is 10",24,10
"Betty is saving money for a new wallet which costs $100. Betty has only half of the money she needs. Her parents decided to give her $15 for that purpose, and her grandparents twice as much as her parents. How much more money does Betty need to buy the wallet?"," Let t be the amount of money needed.
We know that the parents gave 15* t dollars.
We also know the grandparents gave 15 * t/2 dollars.
Therefore, the grandparents gave 75 * t/2 dollars.
We have the total amount of money is 15 * t + 2*15 * t/2 = 100 * t.
Therefore, it would be 100 * t = 15 * t + 2*15 * t/2.
Then, combine the like terms, so we get 100t = 60t  + 20t.
And, to solve for t, we have <<100/60/80=2>>2.
The answer is 2

A:","In the beginning, Betty has only 100 / 2 = $<<100/2=50>>50.
Betty's grandparents gave her 15 * 2 = $<<15*2=30>>30.
This means, Betty needs 100 - 50 - 30 - 15 = $<<100-50-30-15=5>>5 more.
The answer is 5",2,5
"Julie is reading a 120-page book. Yesterday, she was able to read 12 pages and today, she read twice as many pages as yesterday. If she wants to read half of the remaining pages tomorrow, how many pages should she read?"," Let x be the number of pages she needs to read tomorrow. So, she has to read (60 - x) pages yesterday and 2x pages today. Thus, x + x + (60 - x) - 2(2x) = 120.
Rearranging the equation and taking out the x term, she can read x + (60 - x) - 2x = 120.
Subtracting 120 from both sides, she can read 12 - 2x = 120.
Transfer the 12 to either side and divide by 2.
This gives 12 - 6 = 8, which is impossible. Thus, she cannot read half the pages.
The answer is 120","Maila read 12 x 2 = <<12*2=24>>24 pages today.
So she was able to read a total of 12 + 24 = <<12+24=36>>36 pages since yesterday.
There are 120 - 36 = <<120-36=84>>84 pages left to be read.
Since she wants to read half of the remaining pages tomorrow, then she should read 84/2 = <<84/2=42>>42 pages.
The answer is 42",120,42
James writes a 3-page letter to 2 different friends twice a week.  How many pages does he write a year?," Let y be the number of pages James writes a year.
James writes the same letter twice a week so the equation 2x = 6y or <<2/6>>>3y = 2y.
Therefore, y = <<3/2>>>2 = 2.
The answer is 2

A:","He writes each friend 3*2=<<3*2=6>>6 pages a week
So he writes 6*2=<<6*2=12>>12 pages every week
That means he writes 12*52=<<12*52=624>>624 pages a year
The answer is 624",2,624
"Mark has a garden with flowers. He planted plants of three different colors in it. Ten of them are yellow, and there are 80% more of those in purple. There are only 25% as many green flowers as there are yellow and purple flowers. How many flowers does Mark have in his garden?"," The number of purple flowers is 10 * 80% * (1 + 25%) = 2 * (1 + 25%) = <<0.5=>>1.5.
The number of yellow flowers is 10 * 80% * 1 = 1 * 25% = <<25=>>25.
The number of green flowers = 10 * 80% - 2 * 80% = 10 * 80% - <<10*80%=80>>80.
Therefore, there are 80/80 = <<80/80=1>>1, because they are equal.
Therefore, there are one purple flower, one yellow flower, and one green flower.
The answer is 1

A:","There are 80/100 * 10 = <<80/100*10=8>>8 more purple flowers than yellow flowers.
So in Mark's garden, there are 10 + 8 = <<10+8=18>>18 purple flowers.
Purple and yellow flowers sum up to 10 + 18 = <<10+18=28>>28 flowers.
That means in Mark's garden there are 25/100 * 28 = <<25/100*28=7>>7 green flowers.
So in total Mark has 28 + 7 = <<28+7=35>>35 plants in his garden.
The answer is 35",1,35
"Albert is wondering how much pizza he can eat in one day. He buys 2 large pizzas and 2 small pizzas. A large pizza has 16 slices and a small pizza has 8 slices. If he eats it all, how many pieces does he eat that day?"," Large pizza consists of 16 slices so we have 16 slices, a small pizza consists of 8 slices so we have 8 slices.

Q:","He eats 32 from the largest pizzas because 2 x 16 = <<2*16=32>>32
He eats 16 from the small pizza because 2 x 8 = <<2*8=16>>16
He eats 48 pieces because 32 + 16 = <<32+16=48>>48
The answer is 48",8,48
"Tina makes $18.00 an hour.  If she works more than 8 hours per shift, she is eligible for overtime, which is paid by your hourly wage + 1/2 your hourly wage.  If she works 10 hours every day for 5 days, how much money does she make?"," If she works for 10 hours every day for 5 days, she makes 10 hours x $5.00/hour = 50 hours x $5.00/hour = 250 hours x $5.00/hour = 2500$.
The wage per hour is $5.00 plus 1/2 of that, which is 2.5.  So, $2.50/hour.
So, she makes 10 hours * $2.50/hour = $25.
The wage she makes is the 10 hours + the overtime, which is 10 hours * $10.00/hour = $100 plus the overtime that was earned with an extra $10.00 for each hour, which","She works 8 hours a day for $18 per hour so she makes 8*18 = $<<8*18=144.00>>144.00 per 8-hour shift
She works 10 hours a day and anything over 8 hours is eligible for overtime, so she gets 10-8 = <<10-8=2>>2 hours of overtime
Overtime is calculated as time and a half so and she makes $18/hour so her overtime pay is 18*.5 = $<<18*.5=9.00>>9.00
Her overtime pay is 18+9 = $<<18+9=27.00>>27.00
Her base pay is $144.00 per 8-hour shift and she works 5 days and makes 5 * $144 = $<<144*5=720.00>>720.00
Her overtime pay is $27.00 per hour and she works 2 hours of overtime per day and makes 27*2 = $<<27*2=54.00>>54.00 in overtime pay
2 hours of overtime pay for 5 days means she makes 54*5 = $270.00
In 5 days her base pay is $720.00 and she makes $270.00 in overtime pay so she makes $720 + $270 = $<<720+270=990.00>>990.00
The answer is 990",00,990
"A deep-sea monster rises from the waters once every hundred years to feast on a ship and sate its hunger. Over three hundred years, it has consumed 847 people. Ships have been built larger over time, so each new ship has twice as many people as the last ship. How many people were on the ship the monster ate in the first hundred years?"," Let x be the number of people on the first ship.
So, 3 ships were consumed in the first 100 years and each ship had 2 times as many people as the last ship, so the equation is 3x + 6x = 847.
Then, add 3 to 3x to get 5x.
Since 6x is the number of people on the second ship, so 6x + 20 = 20x + 8.
Then distribute 20 to x giving 2x + 10 = 11x.
Add 10 to both sides and it becomes 2x + 20 = 21x.
Finally, substitute 5x for 2x; so 5x + 10 = 21x
This gives","Let S be the number of people on the first hundred years’ ship.
The second hundred years’ ship had twice as many as the first, so it had 2S people.
The third hundred years’ ship had twice as many as the second, so it had 2 * 2S = <<2*2=4>>4S people.
All the ships had S + 2S + 4S = 7S = 847 people.
Thus, the ship that the monster ate in the first hundred years had S = 847 / 7 = <<847/7=121>>121 people on it.
The answer is 121",21,121
Randy has 60 mango trees on his farm. He also has 5 less than half as many coconut trees as mango trees. How many trees does Randy have in all on his farm?," Let m denote the number of mango trees.
Then, there are 5m + (5/4)m coconut trees.
To find the total number of trees, we have 5m + (5/4)m + 5m = 60.
Thus, 3m = 40.
To solve for m, we have, m = <<4=3>>3 or, m = 12.
The answer is 12

Q:","Half of the number of Randy's mango trees is 60/2 = <<60/2=30>>30 trees.
So Randy has 30 - 5 = <<30-5=25>>25 coconut trees.
Therefore, Randy has 60 + 25 = <<60+25=85>>85 treeson his farm.
The answer is 85",12,85
