question,model_answer,real_answer,model_answer_value,real_answer_value
"Natalia sold clips to 48 of her friends in April, and then she sold half as many clips in May. How many clips did Natalia sell altogether in April and May?","[' Natalia sold 48 clips in April and then sold half as many clips in May, so she sold 48 clips in April and 24 clips in May.\nSo, 48 + 24 = <<48+24=72>>72 clips in total.\nThe answer is 72\n\nA:', ' Natalia sold 48 clips to her friends in April, and then she sold 24 clips in May.\nSo, Natalia sold 48 clips in April, and then she sold 24 clips in May.\nSo, Natalia sold 72 clips in April and May.\nThe answer is 72\n\nQ:']","Natalia sold 48/2 = <<48/2=24>>24 clips in May.
Natalia sold 48+24 = <<48+24=72>>72 clips altogether in April and May.
The answer is 72",72.0,72.0
"Weng earns $12 an hour for babysitting. Yesterday, she just did 50 minutes of babysitting. How much did she earn?","[' If she earns 12 dollars an hour, and she did 50 minutes of babysitting, then her babysitting earnings are 50 minutes * 12 dollars = 600 dollars.\nThe answer is 600\n\nA:', ' Weng earned $12 for every hour she babysat, so she earned $12*50 minutes.\nShe babysat for 50 minutes, so she earns $12*50 minutes.\nThe answer is $600\n\nA:']","Weng earns 12/60 = $<<12/60=0.2>>0.2 per minute.
Working 50 minutes, she earned 0.2 x 50 = $<<0.2*50=10>>10.
The answer is 10",600.0,10.0
"Betty is saving money for a new wallet which costs $100. Betty has only half of the money she needs. Her parents decided to give her $15 for that purpose, and her grandparents twice as much as her parents. How much more money does Betty need to buy the wallet?","[' Let x be the amount of money Betty needs to buy the wallet.\nWe know Betty has half the money she needs, so x = 100/2.\nHer parents gave her $15, so Betty has 15 + x = <<15+x=25>>25.\nHer grandparents gave her twice the amount her parents gave her, so she has 15 + 2x = <<15+2x=30>>30\nThe answer is 30', ' Betty has to save $90 to buy the wallet.\nHer parents gave her $15, so she still needs to save $75.\nHer parents gave her $15, so she still needs to save $75.\nHer grandparents gave her $15, so she still needs to save $60.\nHer grandparents gave her $15, so she still needs to save $60.\nHer grandparents gave her $15, so she still needs to save $60.\nHer grandparents gave her $30, so she still needs']","In the beginning, Betty has only 100 / 2 = $<<100/2=50>>50.
Betty's grandparents gave her 15 * 2 = $<<15*2=30>>30.
This means, Betty needs 100 - 50 - 30 - 15 = $<<100-50-30-15=5>>5 more.
The answer is 5",30.0,5.0
"Julie is reading a 120-page book. Yesterday, she was able to read 12 pages and today, she read twice as many pages as yesterday. If she wants to read half of the remaining pages tomorrow, how many pages should she read?","[' Yesterday, she read 12 pages.\nToday, she read 24 pages.\nIf she reads half of the remaining pages tomorrow, she would have to read half of the remaining pages.\nSo, half of the remaining pages = 120 pages - 12 pages - 24 pages = <<120-12-24=36>>36 pages.\nSo, she would have to read <<36/12=3>>3 pages tomorrow.\nThe answer is 3\n\nA:', ' If she wants to finish half of the remaining pages, she needs to read half of 120, or 60 pages.\nIf she read 12 pages yesterday, and read twice as many pages today, then she read 12 + 12 = 24 pages.\nIf she wants to read 60 pages, then she needs to read 60/24 pages.\nIf she reads twice as many as yesterday, then she needs to read 60/24 pages = <<60/24=3>>3 pages more than yesterday.\nThe answer is 3\n\nA:']","Maila read 12 x 2 = <<12*2=24>>24 pages today.
So she was able to read a total of 12 + 24 = <<12+24=36>>36 pages since yesterday.
There are 120 - 36 = <<120-36=84>>84 pages left to be read.
Since she wants to read half of the remaining pages tomorrow, then she should read 84/2 = <<84/2=42>>42 pages.
The answer is 42",3.0,42.0
James writes a 3-page letter to 2 different friends twice a week.  How many pages does he write a year?,"[' Let x be the total number of pages James writes a year.  We can write x = 3 * 2 * 2 * 52 = <<3*2=2>>104 pages.\nWe know that he writes a 3-page letter to 2 different friends twice a week, so x = 3 * 2 * 52 = <<3*2=2>> 104 pages.\nThe answer is 2\n\nQ:', ' Let p = number of pages written in one year\nLet n = number of letters written to each friend in a year\nLet t = number of times James writes a letter in a week\nLet f = number of friends\nLet a = number of pages per letter\nLet w = number of weeks in a year\nWe know that James writes a letter twice a week, so t = 2\nWe know that he sends a letter to two friends, so n = 2\nWe know that']","He writes each friend 3*2=<<3*2=6>>6 pages a week
So he writes 6*2=<<6*2=12>>12 pages every week
That means he writes 12*52=<<12*52=624>>624 pages a year
The answer is 624",2.0,624.0
"Mark has a garden with flowers. He planted plants of three different colors in it. Ten of them are yellow, and there are 80% more of those in purple. There are only 25% as many green flowers as there are yellow and purple flowers. How many flowers does Mark have in his garden?","[' There are 10 yellow flowers, 80% more of those in purple, and 25% as many green flowers as yellow and purple flowers. So, 10 + 80% * 10 = 10 + 8 * 10 = 20 * 10.\n20 * 10 = <<2^2=>>20 * 2 = <<4=4>>4 * 10.\n4 * 10 = <<2^2=>>4 * 2 = <<4=4>>4 * 4.\nThe answer is 4\n\nQ:', ' Let y be the number of yellow flowers, p be the number of purple flowers and g be the number of green flowers.\nWe know that there are 80% more yellow flowers than purple flowers, so there are <<80=>>4 times more yellow flowers than purple flowers. Thus, there are 4 * y = <<4*y=>>4y yellow flowers.\nWe also know that there are 25% as many green flowers as there are yellow and purple flowers. Thus, there are <<25=>>4']","There are 80/100 * 10 = <<80/100*10=8>>8 more purple flowers than yellow flowers.
So in Mark's garden, there are 10 + 8 = <<10+8=18>>18 purple flowers.
Purple and yellow flowers sum up to 10 + 18 = <<10+18=28>>28 flowers.
That means in Mark's garden there are 25/100 * 28 = <<25/100*28=7>>7 green flowers.
So in total Mark has 28 + 7 = <<28+7=35>>35 plants in his garden.
The answer is 35",4.0,35.0
"Albert is wondering how much pizza he can eat in one day. He buys 2 large pizzas and 2 small pizzas. A large pizza has 16 slices and a small pizza has 8 slices. If he eats it all, how many pieces does he eat that day?","[' Albert can eat 2 large pizzas and 2 small pizzas in one day.\nIf he eats it all, he eats 2 * 16 + 2 * 8 = <<2 * 16 + 2 * 8 = 32>>32 slices.\nThe answer is 32\n\nQ:', ' Albert eats 2 slices from a large pizza and 2 slices from a small pizza.\nHe eats 4 slices from a large pizza and 2 slices from a small pizza.\nHe eats 6 slices from a large pizza and 2 slices from a small pizza.\nHe eats 8 slices from a large pizza and 2 slices from a small pizza.\nHe eats 16 slices from a large pizza and 8 slices from a small pizza.\nThe answer is 32\n\nA:']","He eats 32 from the largest pizzas because 2 x 16 = <<2*16=32>>32
He eats 16 from the small pizza because 2 x 8 = <<2*8=16>>16
He eats 48 pieces because 32 + 16 = <<32+16=48>>48
The answer is 48",32.0,48.0
"Ken created a care package to send to his brother, who was away at boarding school.  Ken placed a box on a scale, and then he poured into the box enough jelly beans to bring the weight to 2 pounds.  Then, he added enough brownies to cause the weight to triple.  Next, he added another 2 pounds of jelly beans.  And finally, he added enough gummy worms to double the weight once again.  What was the final weight of the box of goodies, in pounds?","[' The first 2 pounds of jelly beans weighed 2 pounds, so the total weight of the first 2 pounds was 2 pounds.\nThe second 2 pounds of jelly beans weighed 2 pounds, so the total weight of the first 2 pounds was 4 pounds.\nThe third 2 pounds of jelly beans weighed 2 pounds, so the total weight of the first 2 pounds was 6 pounds.\nThe fourth 2 pounds of jelly beans weighed 2 pounds, so the total weight of the first 2 pounds was 8 pounds.\nThe fifth 2 pounds', ' We know the weight of the box is 2 pounds.\nWe know that the weight of 2 pounds of jelly beans is <<2=2>>2 pounds.\nWe know that the weight of 2 pounds of brownies is <<2=2>>2 pounds.\nWe know that the weight of 2 pounds of jelly beans + 2 pounds of brownies is <<2+2=4>>4 pounds.\nWe know that the weight of 2 pounds of jelly beans + 2 pounds of brownies + 2 pounds of jelly beans is <<']","To the initial 2 pounds of jelly beans, he added enough brownies to cause the weight to triple, bringing the weight to 2*3=<<2*3=6>>6 pounds.
Next, he added another 2 pounds of jelly beans, bringing the weight to 6+2=<<6+2=8>>8 pounds.
And finally, he added enough gummy worms to double the weight once again, to a final weight of 8*2=<<8*2=16>>16 pounds.
The answer is 16",2.0,16.0
"Alexis is applying for a new job and bought a new set of business clothes to wear to the interview. She went to a department store with a budget of $200 and spent $30 on a button-up shirt, $46 on suit pants, $38 on a suit coat, $11 on socks, and $18 on a belt. She also purchased a pair of shoes, but lost the receipt for them. She has $16 left from her budget. How much did Alexis pay for the shoes?","[' Alexis bought a button-up shirt for $30, a pair of pants for $46, a suit coat for $38, socks for $11 and a belt for $18. She also bought shoes, but lost the receipt for them. She had $16 left from her budget. So, she bought the shoes for $16.\nThe answer is 16\n\nA:', ' Alexis bought the shoes for $16. So, the shoes cost $16.\nThe answer is $16\n\nQ:']","Let S be the amount Alexis paid for the shoes.
She spent S + 30 + 46 + 38 + 11 + 18 = S + <<+30+46+38+11+18=143>>143.
She used all but $16 of her budget, so S + 143 = 200 - 16 = 184.
Thus, Alexis paid S = 184 - 143 = $<<184-143=41>>41 for the shoes.
The answer is 41",16.0,41.0
"Tina makes $18.00 an hour.  If she works more than 8 hours per shift, she is eligible for overtime, which is paid by your hourly wage + 1/2 your hourly wage.  If she works 10 hours every day for 5 days, how much money does she make?","[' Let w be her hourly wage, and let t be the number of hours she works per day.\nWe know that if she works more than 8 hours, she is eligible for overtime, which is w + 1/2 w.  So, if she works 10 hours per day, then 10 * w + 1/2 * 10 * w = 10 * w + 5 * w = 10 * w + 5 * w.\nSo, 10 * w + 5 * w = 18 * t.\nAnd, 10', ' Let w be her hourly wage and t be her overtime pay rate.  Then, her hourly wage is $w$, and her overtime pay is $tw$.  If Tina works 10 hours every day for 5 days, then she makes 10*$w$ + 5 * $tw$.\nThus, 10*w + 5 *tw = <<10*w + 5 *tw = 10*w + 5w>>10*w + 5w.\nAnd, 10*w +']","She works 8 hours a day for $18 per hour so she makes 8*18 = $<<8*18=144.00>>144.00 per 8-hour shift
She works 10 hours a day and anything over 8 hours is eligible for overtime, so she gets 10-8 = <<10-8=2>>2 hours of overtime
Overtime is calculated as time and a half so and she makes $18/hour so her overtime pay is 18*.5 = $<<18*.5=9.00>>9.00
Her overtime pay is 18+9 = $<<18+9=27.00>>27.00
Her base pay is $144.00 per 8-hour shift and she works 5 days and makes 5 * $144 = $<<144*5=720.00>>720.00
Her overtime pay is $27.00 per hour and she works 2 hours of overtime per day and makes 27*2 = $<<27*2=54.00>>54.00 in overtime pay
2 hours of overtime pay for 5 days means she makes 54*5 = $270.00
In 5 days her base pay is $720.00 and she makes $270.00 in overtime pay so she makes $720 + $270 = $<<720+270=990.00>>990.00
The answer is 990",10.0,990.0
