question,model_answer,real_answer,model_answer_value,real_answer_value
"Natalia sold clips to 48 of her friends in April, and then she sold half as many clips in May. How many clips did Natalia sell altogether in April and May?","[' Natalia sold 48 clips in April.\nShe sold half as many clips in May, so she sold 24 clips.\nThe total number of clips she sold is 48 + 24 = <<48+24=72>>72.\nThe answer is 72\n\nQ:', ' Natalia sold 48 * (1/2) = <<48/2=24>>24 clips in May.\nShe sold 48 clips in April.\nShe sold (48 + 24) = <<48+24=72>>72 clips altogether in April and May.\nThe answer is 72\n\nQ:', ' Let a be the total number of clips sold by Natalia.\nIn April, 48 friends bought clips so a = <<48=>>48.\nIn May, Natalia sold a half of what she sold in April, so a/2=<<48/2=24>>24.\nSo, 48 + 24 = <<48+24=>>72.\nThe answer is 72\n\nA:', ' Natalia sold 48 clips in April and 24 clips in May. So the total number of clips she sold is 48 + 24 = <<48+24=72>>72.\nThe answer is 72\n\nQ:']","Natalia sold 48/2 = <<48/2=24>>24 clips in May.
Natalia sold 48+24 = <<48+24=72>>72 clips altogether in April and May.
The answer is 72",72.0,72.0
"Weng earns $12 an hour for babysitting. Yesterday, she just did 50 minutes of babysitting. How much did she earn?","[' Let x be the amount of babysitting Weng did yesterday.\nWe can see that Weng did 50 minutes of babysitting yesterday, so x = 50 minutes.\nWe also know that Weng earns $12 per hour for her babysitting.\nThus, Weng earns $12 * x.\nAnd, $12 * x = $12 * 50.\nThus, $12 * x = $600.\nFinally, x = $600 / $12 = $<<12=12', ' Let x be the number of minutes babysitting. Then, x*12 is how much Weng earned.\nWe know that 50 minutes is 50*60 seconds, which is equal to 3000 seconds.\nThus, 50*60 = 3000\nTherefore, x*12 = 3000\nThus, x*12 = 3000\nAnd x*12 = 3000\nThus, x*12 = 3000\nAnd x*12 = 3000\nThus, x*12 = 3000\nThus, x*12']","Weng earns 12/60 = $<<12/60=0.2>>0.2 per minute.
Working 50 minutes, she earned 0.2 x 50 = $<<0.2*50=10>>10.
The answer is 10",12.0,10.0
"Betty is saving money for a new wallet which costs $100. Betty has only half of the money she needs. Her parents decided to give her $15 for that purpose, and her grandparents twice as much as her parents. How much more money does Betty need to buy the wallet?","["" Betty needs 100 - 50 = 50 dollars.\nBetty's grandparents give her 50 + 50 = 100 dollars.\nBetty's parents give her 100 + 100 = 200 dollars.\nThe grandparents give Betty twice as much as the parents give her.\nThus, 100 + 100 = 200.\nSo, 200 - 100 = 100.\nThe grandparents give Betty 100 dollars.\nSo the grandparent's give Betty <<1=1>>1 dollars.\nThe answer is 1""]","In the beginning, Betty has only 100 / 2 = $<<100/2=50>>50.
Betty's grandparents gave her 15 * 2 = $<<15*2=30>>30.
This means, Betty needs 100 - 50 - 30 - 15 = $<<100-50-30-15=5>>5 more.
The answer is 5",1.0,5.0
"Julie is reading a 120-page book. Yesterday, she was able to read 12 pages and today, she read twice as many pages as yesterday. If she wants to read half of the remaining pages tomorrow, how many pages should she read?","[' If she reads 12 pages yesterday then there are 120-12 = <<1.2=1>>1.2 = 108 pages left to read.\nShe read twice as many pages as yesterday, so there were 24 pages read today.\nSo, 24 pages were read in <<1.24=1.25>>1.24 = 1.25 days, or 24 pages were read in 1.25 days.\nIf she reads half of the remaining pages tomorrow, then she needs to read <<1.5=']","Maila read 12 x 2 = <<12*2=24>>24 pages today.
So she was able to read a total of 12 + 24 = <<12+24=36>>36 pages since yesterday.
There are 120 - 36 = <<120-36=84>>84 pages left to be read.
Since she wants to read half of the remaining pages tomorrow, then she should read 84/2 = <<84/2=42>>42 pages.
The answer is 42",1.5,42.0
James writes a 3-page letter to 2 different friends twice a week.  How many pages does he write a year?,"[' Let n be the number of friends he has.\nLet x be the number of pages he writes to one friend per week.\nLet y be the number of pages he writes to the other friend per week.\nLet z be the number of times he writes a 3-page letter.\nThen, z = 3 * n.\nJames writes 3 pages to each friend twice a week, so x = 2*n.\nJames writes a 3-page letter to each friend twice a week, so y = 3 * n.\n']","He writes each friend 3*2=<<3*2=6>>6 pages a week
So he writes 6*2=<<6*2=12>>12 pages every week
That means he writes 12*52=<<12*52=624>>624 pages a year
The answer is 624",3.0,624.0
"Mark has a garden with flowers. He planted plants of three different colors in it. Ten of them are yellow, and there are 80% more of those in purple. There are only 25% as many green flowers as there are yellow and purple flowers. How many flowers does Mark have in his garden?","[' Let y be the number of yellow flowers, p be the number of purple flowers and g be the number of green flowers.\nWe know that 10 of the flowers are yellow, so y=10.\nWe also know that there are 80% more purple flowers than yellow ones, so p = 10 * 80%.\nWe also know that there are 25% as many green flowers as yellow and blue flowers, so g = y + p * 25%.\nWe also know that there are the same number of yellow and purple flowers', ' Let y = number of yellow flowers.\nLet p = number of purple flowers.\nLet g = number of green flowers.\nThe number of flowers in the garden is 10 + 10 * 80% * y + 25 % * (y * p) = 10 + 10 * 80% * y + 25% * y * p.\nThe number of yellow, purple, and green flowers in the garden is 10, p, and g.\nThus, (10 + 10 * 80% * y + 25% * y * p)', "" Let x be the number of yellow flowers, y the number of purple flowers, and z the number of green flowers. The number of yellow flowers is 10 and there are 80% more of those in purple so there are 80 * x yellow flowers in purple. There are only 25% as many green as there are yellow flowers so there are 25 * y green flowers.\nWe know the total number of flowers in Mark's garden is 10 + 80 * x + 25 * y.\nWe know the number of yellow""]","There are 80/100 * 10 = <<80/100*10=8>>8 more purple flowers than yellow flowers.
So in Mark's garden, there are 10 + 8 = <<10+8=18>>18 purple flowers.
Purple and yellow flowers sum up to 10 + 18 = <<10+18=28>>28 flowers.
That means in Mark's garden there are 25/100 * 28 = <<25/100*28=7>>7 green flowers.
So in total Mark has 28 + 7 = <<28+7=35>>35 plants in his garden.
The answer is 35",25.0,35.0
"Albert is wondering how much pizza he can eat in one day. He buys 2 large pizzas and 2 small pizzas. A large pizza has 16 slices and a small pizza has 8 slices. If he eats it all, how many pieces does he eat that day?","[' Let x be the total number of slices he eats in one day.\nWe know he eats 2 large pizzas and 2 small pizzas so he eats 2x + 2x = 4x slices.\nWe know he eats 16 slices from a large pizza and 8 from a small pizza, so he eats 4x + 4x = 8 x + 8x.\nWe know that he eats 2x + 2x = 8x + 8x.\nThus, 2x = 8x.\nx = <<4=2>>2']","He eats 32 from the largest pizzas because 2 x 16 = <<2*16=32>>32
He eats 16 from the small pizza because 2 x 8 = <<2*8=16>>16
He eats 48 pieces because 32 + 16 = <<32+16=48>>48
The answer is 48",2.0,48.0
"Ken created a care package to send to his brother, who was away at boarding school.  Ken placed a box on a scale, and then he poured into the box enough jelly beans to bring the weight to 2 pounds.  Then, he added enough brownies to cause the weight to triple.  Next, he added another 2 pounds of jelly beans.  And finally, he added enough gummy worms to double the weight once again.  What was the final weight of the box of goodies, in pounds?","[' We know that the box was 2 pounds before he poured jelly beans.\nThen, he added enough jelly beans to make the total weigh 2 pounds, plus 2 pounds, plus 4 pounds, plus 2 pounds.\nSo the total is 2 pounds + 2 pounds + 4 pounds + 2 pounds + 2 pounds = <<2+2+4+2+2=8>>8 pounds.\nThe answer is 8\n\nA:', ' The jelly beans weigh 2 pounds.  The brownies weigh 3 pounds.  The jelly beans weigh 2 pounds again, and the gummy worms weigh 2 pounds.  So the total weight is 2 pounds + 3 pounds + 2 pounds + 2 pounds = <<2+3+2+2=8>>8 pounds.\nThe answer is 8\n\nA:']","To the initial 2 pounds of jelly beans, he added enough brownies to cause the weight to triple, bringing the weight to 2*3=<<2*3=6>>6 pounds.
Next, he added another 2 pounds of jelly beans, bringing the weight to 6+2=<<6+2=8>>8 pounds.
And finally, he added enough gummy worms to double the weight once again, to a final weight of 8*2=<<8*2=16>>16 pounds.
The answer is 16",8.0,16.0
"Alexis is applying for a new job and bought a new set of business clothes to wear to the interview. She went to a department store with a budget of $200 and spent $30 on a button-up shirt, $46 on suit pants, $38 on a suit coat, $11 on socks, and $18 on a belt. She also purchased a pair of shoes, but lost the receipt for them. She has $16 left from her budget. How much did Alexis pay for the shoes?",[' Alexis bought a pair of shoes for $30 and lost the receipt.\nLet x be her cost per dollar spent on clothes.\nThe cost for the shirt is $30/<<30=>>1.\nThe cost for the pants is $46/<<46=2>>2.\nThe cost for the jacket is $38/<<38=3>>3.\nThe cost for the socks is $11/<<11=12>>12.\nThe belt cost is $18/<<18=24>>24.\nThe shoes cost'],"Let S be the amount Alexis paid for the shoes.
She spent S + 30 + 46 + 38 + 11 + 18 = S + <<+30+46+38+11+18=143>>143.
She used all but $16 of her budget, so S + 143 = 200 - 16 = 184.
Thus, Alexis paid S = 184 - 143 = $<<184-143=41>>41 for the shoes.
The answer is 41",24.0,41.0
"Tina makes $18.00 an hour.  If she works more than 8 hours per shift, she is eligible for overtime, which is paid by your hourly wage + 1/2 your hourly wage.  If she works 10 hours every day for 5 days, how much money does she make?","[' If Tina works more than 8 hours, her overtime is paid by her hourly wage + 1/2 her hourly wage.\nLet w be her wage.\nIf she works 10 hours every day for 5 days, then her overtime is (10 hours * 10 days) * (w + 1/2 w).\nThus, her overtime is 10*10 * (w + 1/2 w).\nSo, her total pay is 10*10 * (w + 1/2 w) + w.\nThus, her total', ' Let x = number of hours worked in a day\nx * (wage + 1/2 wage) = 18.0 + x * 1/2 * 18.0\nx * (wage + 1/2 wage) = 18.0 + (10 - x) * 18.0\nx * (wage + 1/2 wage) = 18.0 + 10 * 18.0\nx * (wage + 1/2 wage) = 18.0 + 100\nx * (wage + 1/2']","She works 8 hours a day for $18 per hour so she makes 8*18 = $<<8*18=144.00>>144.00 per 8-hour shift
She works 10 hours a day and anything over 8 hours is eligible for overtime, so she gets 10-8 = <<10-8=2>>2 hours of overtime
Overtime is calculated as time and a half so and she makes $18/hour so her overtime pay is 18*.5 = $<<18*.5=9.00>>9.00
Her overtime pay is 18+9 = $<<18+9=27.00>>27.00
Her base pay is $144.00 per 8-hour shift and she works 5 days and makes 5 * $144 = $<<144*5=720.00>>720.00
Her overtime pay is $27.00 per hour and she works 2 hours of overtime per day and makes 27*2 = $<<27*2=54.00>>54.00 in overtime pay
2 hours of overtime pay for 5 days means she makes 54*5 = $270.00
In 5 days her base pay is $720.00 and she makes $270.00 in overtime pay so she makes $720 + $270 = $<<720+270=990.00>>990.00
The answer is 990",2.0,990.0
"A deep-sea monster rises from the waters once every hundred years to feast on a ship and sate its hunger. Over three hundred years, it has consumed 847 people. Ships have been built larger over time, so each new ship has twice as many people as the last ship. How many people were on the ship the monster ate in the first hundred years?","[' The first ship had 847 people.\nEach subsequent ship has twice as many people.\nSo, the second ship has 847 *2 people.\nThe third ship has 847*2*2 people.\nAnd so on.\nSo, the answer is 847*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2.\nThe answer is 847 * 2 * 2 * 2 * 2 * 2 * 2 * 2 * 2', ' Let n be the number of people on the first ship.\nWe know the monster ate a total of 847 people, so 847 people = <<847=47>>47 ships of n people.\nWe know the monster has consumed 847 people, so 847 people = <<847=47>>47 ships of n people.\nWe know the ship was built larger each time, so each new ship has twice as many people as the last ship, or 2 * n.\nThus, 847 people = 47 * 2 *']","Let S be the number of people on the first hundred years’ ship.
The second hundred years’ ship had twice as many as the first, so it had 2S people.
The third hundred years’ ship had twice as many as the second, so it had 2 * 2S = <<2*2=4>>4S people.
All the ships had S + 2S + 4S = 7S = 847 people.
Thus, the ship that the monster ate in the first hundred years had S = 847 / 7 = <<847/7=121>>121 people on it.
The answer is 121",2.0,121.0
"Tobias is buying a new pair of shoes that costs $95. He has been saving up his money each month for the past three months. He gets a $5 allowance a month. He also mows lawns and shovels driveways. He charges $15 to mow a lawn and $7 to shovel. After buying the shoes, he has $15 in change. If he mows 4 lawns, how many driveways did he shovel?","[' Let x be number of driveways shoveled.\nWe know that he has $15 in change.\nSo, $<<95-15=80>>80 = 15 * x\nSo, 80 = 15 * x.\nSo, x=$<<80/15=4>>4.\nThe answer is 4', ' We know that he had $15 change after buying the shoes, so we can write $15 = 95 + 15 - <<95-15=70>>$70.\nNow, if we subtract the cost of shoveling a driveway from the $15, we will get the number of lawns that were mowed.\nSo, $15 - <<15-7=8>>$8 = <<4*4=16>>$16.\nThus, 4 lawns were mowed.\nNow, we know that he has to m', ' He buys the shoes at $95 and he gets a $5 allowance a month. So, he has $80 left after the shoes.\nHe charges $15 to mow a lawn.\nHe charges $7 to shovel a driveway.\nSo, he has $80 to pay for the lawn and the driveway.\nHe has $80 to pay for the lawn and the driveway.\nSo, he has to mow 4 lawns and shovel 4 driveways.\nThe answer is 4\n\nA:', ' Let p be the cost of a shovel.\nHe has $15 change after buying the shoes.\nHe mows 4 lawns so he pays $40 in total.\nHe shovels 4 driveways, so he earns $40 in total.\n$40 = 4*p + (40-15)*7\n$40 = 4*p + 35*7\n$40 = 4*p + 280.\n$40 - 4*p = 280.\n$280 = 4 * p.\np = $<<']","He saved up $110 total because 95 + 15 = <<95+15=110>>110
He saved $15 from his allowance because 3 x 5 = <<3*5=15>>15
He earned $60 mowing lawns because 4 x 15 = <<4*15=60>>60
He earned $35 shoveling driveways because 110 - 60 - 15 = <<110-60-15=35>>35
He shoveled 5 driveways because 35 / 7 = <<35/7=5>>5
The answer is 5",4.0,5.0
Randy has 60 mango trees on his farm. He also has 5 less than half as many coconut trees as mango trees. How many trees does Randy have in all on his farm?,"[' The number of mangoes trees is 60 and the number of coconut trees is 5 * <<5/2=2>>2 = <<10/2=5>>5\nThus, 60 + <<10/2=5>>5 = <<60+5=65>>65 trees\nThe answer is 65\n\nA:', ' There are 60 mango trees, so there are 5 mango trees for each of the coconut trees.\nThere are 60 mango trees and 5 coconut trees, so there are 60 mango trees + 5 coconut trees = 65 trees in all on the farm.\nThe answer is 65\n\nQ:', ' 60 mango trees + 5 (half of the number of mango trees) = <<60+5=65>>65 trees.\nThe number of mango trees is 60 and 5 is the half of 60 so 5 = <<60/2=15>>15 mango trees.\nSo there are 65 trees on the farm.\nThe answer is 65\n\nA:', ' The ratio of the number of coconuts trees to mango trees is 5 to 60.\nSo, Randy has 5 coconut trees and 60 mango trees.\nThus, Randy has 65 trees on his farm.\nThe answer is 65\n\nA:']","Half of the number of Randy's mango trees is 60/2 = <<60/2=30>>30 trees.
So Randy has 30 - 5 = <<30-5=25>>25 coconut trees.
Therefore, Randy has 60 + 25 = <<60+25=85>>85 treeson his farm.
The answer is 85",65.0,85.0
"Jasper will serve charcuterie at his dinner party. He buys 2 pounds of cheddar cheese for $10, a pound of cream cheese that cost half the price of the cheddar cheese, and a pack of cold cuts that cost twice the price of the cheddar cheese. How much does he spend on the ingredients?","[' Let x be the cost in dollars of the cheddar cheese.\nWe know that he buys 2 pounds of the cheddar cheese for $10, so the cost of the cheddar cheese is 2*10=$<20=20>>20.\nWe also know that the cost of the cream cheese is (2 pounds of the cheddar cheese - the cost of the cheddar cheese) * the cost of the cream cheese.\nSo, 2 * $10 - $20 = $<<30-20=10', ' We have two unknowns and one equation.\nThe price of one pound of cheddar cheese is $10.\nThe price of one pound of cream cheese is half the price of one pound of cheddar, so $5.\nThe price of one pound of cream cheese is half the price of cheddar, so the price of one pound of cheddar is $10.\nThe price of one pound of cream cheese is $5.\nThe price of one pound of cheddar is $10.\nWe know', ' Let p be the cost of the cheddar cheese.\nThe cost of the cream cheese is p/2 because it costs half the price as the cheddar cheese.\nThe cost of the cold cuts is 2p because they cost twice the price as the cheddar cheese.\nIf we add the costs of the cheddar cheese, the cream cheese, and the cold cuts it equals the total purchase price.\nSo, $10 + p/2 + p/2 = 10*p + p + 2p = 10']","A pound of cream cheese cost $10 / 2 = $<<10/2=5>>5.
A pack of cold cuts cost $10 x 2 = $<<10*2=20>>20.
Jasper spent $10 + $5 + $20 = $<<10+5+20=35>>35 on the ingredients.
The answer is 35",10.0,35.0
Joy can read 8 pages of a book in 20 minutes. How many hours will it take her to read 120 pages?,"[' 8 pages in 20 minutes = <<8*60=480>>480 minutes.\n120 pages in 480 minutes = <<120/48=24>>24 hours.\nThe answer is 24 hours\n\nA:', ' 120 pages / 8 pages = <<120/8=15>>15.\n120 pages / 15 pages = <<120/15=6>>6.\n120 pages / 6 pages = <<120/6=24>>24.\n120 pages / 24 pages = <<120/24=5>>5.\n120 pages / 5 pages = <<120/5=20>>20.\n120 pages / 20 pages = <<120/20=6>>6.\n120 pages / 6 pages = <<120/6=24>>24.\n120 pages / 24 pages = <<']","In one hour, there are 3 sets of 20 minutes.
So, Joy can read 8 x 3 = <<8*3=24>>24 pages in an hour.
It will take her 120/24 = <<120/24=5>>5 hours to read 120 pages.
The answer is 5",24.0,5.0
James creates a media empire.  He creates a movie for $2000.  Each DVD cost $6 to make.  He sells it for 2.5 times that much.  He sells 500 movies a day for 5 days a week.  How much profit does he make in 20 weeks?,"[' He makes 500 movies a day for 5 days a week.\nSo, 500 * 6 + 500 * 6 + 500 * 6 + 500 * 6 + 500 * 6 = <<500 * 6 + 500 * 6 + 500 * 6 + 500 * 6 + 500 * 6 = 500*6*(5+1) = 500*6*5>>50000 dollars a week.\nHe makes 20 weeks of 5,000 dollars.\nSo, 20 weeks of 5000 dollars = <<5 weeks of 10,000', ' He makes a profit of:\n$2000 * 500 * 5 * 20 = 1,000,000\n1,000,000 - (6 * 500 * 5 * 20) = <<6*500*5*20=18,000,000>>$18,000,000\n\nA:']","He sold each DVD for 6*2.5=$<<6*2.5=15>>15
So he makes a profit of 15-6=$<<15-6=9>>9
So each day he makes a profit of 9*500=$<<9*500=4500>>4500
So he makes 4500*5=$<<4500*5=22500>>22,500
He makes 22,500*20=$<<22500*20=450000>>450,000
Then after the cost of creating the movie he has a profit of 450,000-2000=$<<450000-2000=448000>>448,000
The answer is 448000",0.0,448000.0
"The profit from a business transaction is shared among 2 business partners, Mike and Johnson in the ratio 2:5 respectively. If Johnson got $2500, how much will Mike have after spending some of his share on a shirt that costs $200?","["" Mike's share of profit is $2500 * 2/5 = $500.\nThe shirt cost $200.\nSo, Mike spent $200 on the shirt.\nSo, Mike has $200 - $200 = $0 after spending his share.\nThe answer is 0\n\nA:""]","According to the ratio, for every 5 parts that Johnson gets, Mike gets 2 parts
Since Johnson got $2500, each part is therefore $2500/5 = $<<2500/5=500>>500
Mike will get 2*$500 = $<<2*500=1000>>1000
After buying the shirt he will have $1000-$200 = $<<1000-200=800>>800 left
The answer is 800",0.0,800.0
