question,model_answer,real_answer,model_answer_value,real_answer_value
"Natalia sold clips to 48 of her friends in April, and then she sold half as many clips in May. How many clips did Natalia sell altogether in April and May?","[' In April she sold 48 clips.\nIn May she sold 24 clips.\nIn total, she sold 72 clips.\nIn April she sold 48 clips.\nSo, 48 clips in total.\nIn May she sold 24 clips.\nSo, 72 clips in total.\nThe answer is 72\n\nA:', "" Let x be the number of clips Natalia sold in April.\nLet y be the number of clips Natalia sold in May.\nWe know that 48 of Natalia's friends bought clips in April.\nWe also know that 48 of her friends bought clips in May.\nWe know that the total number of clips Natalia sold is 48 + (48/2) = 48 + 24 = <<48/2=24>>48 + 24 = <<48/2=24>>72 clips.\nWe also know that x + y = <<"", ' Natalia sold 48 clips in April and 24 clips in May.\nThe answer is 72\n\nA:']","Natalia sold 48/2 = <<48/2=24>>24 clips in May.
Natalia sold 48+24 = <<48+24=72>>72 clips altogether in April and May.
The answer is 72",72.0,72.0
"Weng earns $12 an hour for babysitting. Yesterday, she just did 50 minutes of babysitting. How much did she earn?","[' Weng earned $12 * 50 minutes = $600.\nThe answer is 600\n\nQ:', ' If she did 50 minutes of babysitting, then she earned 50 minutes * 12 dollars an hour = <<50*12=600>>600 dollars.\nIf she did 50 minutes of babysitting, then she earned 50 minutes * 12 dollars an hour = <<50*12=600>>600 dollars.\nThe answer is 600', ' If she did 50 minutes of babysitting yesterday, she earned 50 minutes * 12 dollars = 600 dollars.\nThe answer is 600\n\nQ:']","Weng earns 12/60 = $<<12/60=0.2>>0.2 per minute.
Working 50 minutes, she earned 0.2 x 50 = $<<0.2*50=10>>10.
The answer is 10",600.0,10.0
"Betty is saving money for a new wallet which costs $100. Betty has only half of the money she needs. Her parents decided to give her $15 for that purpose, and her grandparents twice as much as her parents. How much more money does Betty need to buy the wallet?","[' Betty needs to save $100 to buy the wallet. Her parents give her $15, and her grandparents give her $45.\nSo, Betty has $60 to save.\nLet x be the amount of money Betty has to save.\nSo, $60 = 15 + 45*x.\n$60 = 15 + 30*x.\n$60 = 15 + 30 * <<1.5=1.5>>1.5.\n$60 = 15 + 30 * 2.\n$60 = 30 * 2 + 15', ' Let x be the amount of money Betty has saved.\nThe parents gave her $15.\nThe grandparents gave her $45.\nThe grandparents gave her $45.\nThe parents gave her $15.\nThe grandparents gave her $45.\nThe parents gave her $15.\nThe grandparents gave her $45.\nThe parents gave her $15.\nThe grandparents gave her $45.\nThe parents gave her $15.\nThe grandparents gave her $45.\nThe parents gave her $15.\nThe grandparents gave her', ' Let x be the amount of extra dollars Betty needs.\nThe parents give Betty 15 dollars, and the grandparents give Betty 30 dollars.\nSo, Betty has 15 + 30 = 45 dollars.\nThe wallet costs 100 dollars, so Betty needs 45 dollars + x dollars = 100 dollars\nSo, x = 100 - 45 = <<45-100=15>>15 dollars.\nThe answer is 15\n\nQ:']","In the beginning, Betty has only 100 / 2 = $<<100/2=50>>50.
Betty's grandparents gave her 15 * 2 = $<<15*2=30>>30.
This means, Betty needs 100 - 50 - 30 - 15 = $<<100-50-30-15=5>>5 more.
The answer is 5",15.0,5.0
"Julie is reading a 120-page book. Yesterday, she was able to read 12 pages and today, she read twice as many pages as yesterday. If she wants to read half of the remaining pages tomorrow, how many pages should she read?","[' If she reads half of the remaining pages tomorrow, she needs to read half of 120 pages, or 60 pages. She read 12 pages yesterday and 24 today, so she has read a total of 36 pages. If she wants to read half of the remaining pages tomorrow, she needs to read half of the remaining pages, or 60 pages. So, she needs to read 36 + 60 = <<36+60=108>>108 pages.\nThe answer is 108\n\nA:', ' If we let x be the number of pages she reads today, we know that the number of pages she read yesterday was x/2.\nSo, 120 pages - x = 12 pages.\nAnd, 120 pages - 2x = 12 pages.\nSo, 120 - 12 = 108 pages.\nAnd, 2x = 108 pages.\nAnd, x = <<120-12=108>>108 pages.\nSo, x = <<120-12=108>>108 pages.\nAnd, x = <<120-12=108>>108', ' The number of pages she read yesterday is 12 pages.\nThe number of pages she read today is 24 pages.\nThe number of pages she read yesterday plus the number of pages she read today is 120 pages.\nThe number of pages she read yesterday is 120 pages - 12 pages.\nThe number of pages she read today is 120 pages - 12 pages.\nThe number of pages left is <<120-12=108>>108 pages.\nIf she wants to read half of the remaining pages tomorrow, then she will have']","Maila read 12 x 2 = <<12*2=24>>24 pages today.
So she was able to read a total of 12 + 24 = <<12+24=36>>36 pages since yesterday.
There are 120 - 36 = <<120-36=84>>84 pages left to be read.
Since she wants to read half of the remaining pages tomorrow, then she should read 84/2 = <<84/2=42>>42 pages.
The answer is 42",108.0,42.0
"Mark has a garden with flowers. He planted plants of three different colors in it. Ten of them are yellow, and there are 80% more of those in purple. There are only 25% as many green flowers as there are yellow and purple flowers. How many flowers does Mark have in his garden?","[' Let x be the number of yellow flowers, y be the number of purple flowers, and z be the number of green flowers.\nWe know that there are 80% more yellow flowers than purple flowers, so y/x is 80%.\nWe know that there are only 25% as many green flowers as there are yellow and purple flowers, so z/x is 1/4.\nWe also know that there are 10 yellow flowers, so x = 10.\nWe know that there are 10 purple flowers, so y = 10 * 80%', ' Let x be the number of yellow flowers.\nLet y be the number of purple flowers.\nLet z be the number of green flowers.\nWe know that there are 10 yellow flowers and 80 more purple flowers.\nSo, 10 + 80x = 80x.\nAnd, 10 + 80x = 10 + 80x.\nThus, 80x = 10.\nSo, x = <<10/10=1/5>>1/5.\nWe also know that there are 10 yellow flowers and 80% more of them in purple', "" The total number of flowers in Mark's garden is 10 yellow + 80% more of the yellow flowers = <<10 + 0.8 * 10 = 12>>12 yellow flowers.\nThe total number of flowers in Mark's garden is 12 yellow + 80% more of the yellow flowers + 25% as many green flowers as there are yellow and purple flowers = <<12 + 0.8 * 12 = 16>>16 yellow flowers.\nThe total number of flowers in Mark's garden is 16 yellow + 80% more of the""]","There are 80/100 * 10 = <<80/100*10=8>>8 more purple flowers than yellow flowers.
So in Mark's garden, there are 10 + 8 = <<10+8=18>>18 purple flowers.
Purple and yellow flowers sum up to 10 + 18 = <<10+18=28>>28 flowers.
That means in Mark's garden there are 25/100 * 28 = <<25/100*28=7>>7 green flowers.
So in total Mark has 28 + 7 = <<28+7=35>>35 plants in his garden.
The answer is 35",80.0,35.0
"Albert is wondering how much pizza he can eat in one day. He buys 2 large pizzas and 2 small pizzas. A large pizza has 16 slices and a small pizza has 8 slices. If he eats it all, how many pieces does he eat that day?","[' Albert eats 2 large pizzas in one day.\nEach large pizza has 16 slices.\nSo, he eats 16 slices in one day.\nAlbert also eats 2 small pizzas in one day.\nEach small pizza has 8 slices.\nSo, he eats 8 slices in one day.\nSo, Albert eats 16 slices + 8 slices = 24 slices in one day.\n24 slices in one day = <<24=24>> 24 slices in a day.\nSo, Albert eats 24 slices in one', ' Albert can eat 2 large pizzas and 2 small pizzas in one day.\nA large pizza is 16 slices.\nA small pizza is 8 slices.\nSo, Albert eats 2 * 16 + 2 * 8 = <<16+8=24>>24 slices.\nThe answer is 24\n\nA:', ' Albert eats 2 large pizzas and 2 small pizzas.\nA large pizza is made up of 16 slices.\nA small pizza is made up of 8 slices.\nAlbert eats 16 + 8 = <<24>>24 slices of pizza.\nThe answer is 24\n\nQ:']","He eats 32 from the largest pizzas because 2 x 16 = <<2*16=32>>32
He eats 16 from the small pizza because 2 x 8 = <<2*8=16>>16
He eats 48 pieces because 32 + 16 = <<32+16=48>>48
The answer is 48",24.0,48.0
"Ken created a care package to send to his brother, who was away at boarding school.  Ken placed a box on a scale, and then he poured into the box enough jelly beans to bring the weight to 2 pounds.  Then, he added enough brownies to cause the weight to triple.  Next, he added another 2 pounds of jelly beans.  And finally, he added enough gummy worms to double the weight once again.  What was the final weight of the box of goodies, in pounds?","[' The first 2 pounds of jelly beans weigh 2 pounds.\nThe second 2 pounds weighs 2 pounds.\nThe third 2 pounds weighs 4 pounds.\nThe final weight is 2 pounds + 2 pounds + 4 pounds = <<2+2+4=8>>8 pounds.\nThe answer is 8\n\nA:', ' The weight of the box was 2 pounds, and the weight of the jelly beans was 2 pounds.\nThe weight of all the jelly beans is 2 + 2 = <<2+2=4>>4 pounds.\nThe weight of all the brownies was 4 pounds.\nThe weight of all the jelly beans is 4 pounds.\nThe weight of all the gummy worms is 4 pounds.\nSo, the final weight of the box of goodies was <<2+2+2=8>>8 pounds.\nThe answer is 8']","To the initial 2 pounds of jelly beans, he added enough brownies to cause the weight to triple, bringing the weight to 2*3=<<2*3=6>>6 pounds.
Next, he added another 2 pounds of jelly beans, bringing the weight to 6+2=<<6+2=8>>8 pounds.
And finally, he added enough gummy worms to double the weight once again, to a final weight of 8*2=<<8*2=16>>16 pounds.
The answer is 16",8.0,16.0
"Alexis is applying for a new job and bought a new set of business clothes to wear to the interview. She went to a department store with a budget of $200 and spent $30 on a button-up shirt, $46 on suit pants, $38 on a suit coat, $11 on socks, and $18 on a belt. She also purchased a pair of shoes, but lost the receipt for them. She has $16 left from her budget. How much did Alexis pay for the shoes?","[' Let p be the price of the shoes.\nWe know that the total cost of the suit is $30 + 46 + 38 + 11 + 18 = $105.\nWe also know that the total cost of the clothes is $30 + 46 + 38 + 11 = $97.\nIf we add the cost of the suit and the clothes, it equals the total cost of $105 + 97 = <<105+97=216>>216.\nThus, 216 = 105 + p.\nFinally, p=$<<2', ' Alexis has $16 left from her budget. She bought a button-up shirt for $30, a suit coat for $38, a pair of socks for $11, and a belt for $18. The total cost of her clothes is $<<30+38+11+18=97>>97. She spent $200, so she spent $<<97-200=-97>>97 on the shoes. The shoes cost $<<97-97=2>>2.\nThe answer is 2\n\nA:']","Let S be the amount Alexis paid for the shoes.
She spent S + 30 + 46 + 38 + 11 + 18 = S + <<+30+46+38+11+18=143>>143.
She used all but $16 of her budget, so S + 143 = 200 - 16 = 184.
Thus, Alexis paid S = 184 - 143 = $<<184-143=41>>41 for the shoes.
The answer is 41",2.0,41.0
"Tina makes $18.00 an hour.  If she works more than 8 hours per shift, she is eligible for overtime, which is paid by your hourly wage + 1/2 your hourly wage.  If she works 10 hours every day for 5 days, how much money does she make?","[' Let w be the wage rate.\nIf she works 8 hours, she makes w * 8 hours = <<18*8=144>>144.\nIf she works more than 8 hours, then she is eligible for overtime, which is w + 1/2 * w * (10 hours - 8 hours) = <<18+(1/2*18)*(10-8)>>18 + (1/2*18)*(10-8).\nIf she works 10 hours every day for 5 days, then she works', ' Let h be the hourly wage.\nLet x be the number of hours worked.\nLet y be the number of days worked.\nLet t be the overtime rate.\nLet z be the total number of hours worked.\nWe know that Tina makes $18.00 an hour, so h = 18.00.\nWe know that Tina works 10 hours per day, so x = 10 hours.\nWe know that Tina works 5 days per week, so y = 5 days.\nWe know that Tina is']","She works 8 hours a day for $18 per hour so she makes 8*18 = $<<8*18=144.00>>144.00 per 8-hour shift
She works 10 hours a day and anything over 8 hours is eligible for overtime, so she gets 10-8 = <<10-8=2>>2 hours of overtime
Overtime is calculated as time and a half so and she makes $18/hour so her overtime pay is 18*.5 = $<<18*.5=9.00>>9.00
Her overtime pay is 18+9 = $<<18+9=27.00>>27.00
Her base pay is $144.00 per 8-hour shift and she works 5 days and makes 5 * $144 = $<<144*5=720.00>>720.00
Her overtime pay is $27.00 per hour and she works 2 hours of overtime per day and makes 27*2 = $<<27*2=54.00>>54.00 in overtime pay
2 hours of overtime pay for 5 days means she makes 54*5 = $270.00
In 5 days her base pay is $720.00 and she makes $270.00 in overtime pay so she makes $720 + $270 = $<<720+270=990.00>>990.00
The answer is 990",5.0,990.0
"A deep-sea monster rises from the waters once every hundred years to feast on a ship and sate its hunger. Over three hundred years, it has consumed 847 people. Ships have been built larger over time, so each new ship has twice as many people as the last ship. How many people were on the ship the monster ate in the first hundred years?","[' The monster ate the ship in the first hundred years, and the ship had 847 people on it.\nOver the next three hundred years, the monster ate the ship, and the next ship had twice as many people on it, so the ship had 847 * 2 people on it.\nOver the next three hundred years, the monster ate the ship, and the next ship had twice as many people on it, so the ship had 847 * 2 * 2 people on it.\nOver the next three hundred years', ' The first ship had 847 people on it.\nThe second ship had 847 * 2 people on it.\nThe third ship had 847 * 2 * 2 people on it.\nThe fourth ship had 847 * 2 * 2 * 2 people on it.\nThe fifth ship had 847 * 2 * 2 * 2 * 2 people on it.\nThe sixth ship had 847 * 2 * 2 * 2 * 2 * 2 people on it.\nThe seventh ship had 847 * 2 * 2 * 2 * 2 * 2 *', ' The first ship had 847 people.\nThe second ship had 847 * 2 people.\nThe third ship had 847 * 2 * 2 people.\nThe fourth ship had 847 * 2 * 2 * 2 people.\nThe fifth ship had 847 * 2 * 2 * 2 * 2 people.\nThe sixth ship had 847 * 2 * 2 * 2 * 2 * 2 people.\nThe seventh ship had 847 * 2 * 2 * 2 * 2 * 2 * 2 people.\nThe eighth ship had 847 * 2 * 2']","Let S be the number of people on the first hundred years’ ship.
The second hundred years’ ship had twice as many as the first, so it had 2S people.
The third hundred years’ ship had twice as many as the second, so it had 2 * 2S = <<2*2=4>>4S people.
All the ships had S + 2S + 4S = 7S = 847 people.
Thus, the ship that the monster ate in the first hundred years had S = 847 / 7 = <<847/7=121>>121 people on it.
The answer is 121",2.0,121.0
